"",ResponseId,condition,open.1,open.2,ColumnID,Text,Segment,WC,Affect,emotion
30,R_7smNiTXwpcUx4mr,Low,"Wondering what all the people are gathering for and what it's about.  The only clue is the nuclear things.  Is that what it's about?

I don't know what the content is about.  Because you're showing these images and I don't know they're about I feel concerned.",At first they look like they could be the front of greeting cards.   But when I looked further it looked like global warming.  A general map of the continents with some indication on it.  The graph bored me.  And I wondered it was included with scenic pictures.  But it was what tipped me off that it was more serious so I looked again at the pictures again.,text,"Wondering what all the people are gathering for and what it's about.  The only clue is the nuclear things.  Is that what it's about?

I don't know what the content is about.  Because you're showing these images and I don't know they're about I feel concerned. At first they look like they could be the front of greeting cards.   But when I looked further it looked like global warming.  A general map of the continents with some indication on it.  The graph bored me.  And I wondered it was included with scenic pictures.  But it was what tipped me off that it was more serious so I looked again at the pictures again.",1,113,1.77,1.77
31,R_3r6QejW4VH3XZs5,High,These images remind me of duality the balance between peace and destructiveness and how we are creating chaos on earth.,Nature versus man it makes me sad and hopeful because I understand the world needs to be fixed but I don’t understand how to fix it when we have done so much damage to it.,text,These images remind me of duality the balance between peace and destructiveness and how we are creating chaos on earth. Nature versus man it makes me sad and hopeful because I understand the world needs to be fixed but I don’t understand how to fix it when we have done so much damage to it.,1,55,7.27,3.64
32,R_7EqFiiV4yH1I3aV,Low,"I don't understand most of them, but some are frightening. The fact that there are multiple languages and nations portrayed shows the global effect.",Illustrations of the results of global warming and shows the increase in temperatures. It is disturbing to see the changes.,text,"I don't understand most of them, but some are frightening. The fact that there are multiple languages and nations portrayed shows the global effect. Illustrations of the results of global warming and shows the increase in temperatures. It is disturbing to see the changes.",1,44,4.55,2.27
33,R_70T5GxO9bGBAPVU,Low,To be honest the pictures are too small for me. I can't tell the message so I feel very frustrated. Remember there are older people who do these surveys.,Way to small to have an opinion. You guys need to realize not everyone has great vision. So I guess I feel frustrated. I'm sorry I can't do better than that.,text,To be honest the pictures are too small for me. I can't tell the message so I feel very frustrated. Remember there are older people who do these surveys. Way to small to have an opinion. You guys need to realize not everyone has great vision. So I guess I feel frustrated. I'm sorry I can't do better than that.,1,60,6.67,3.33
34,R_3Y5Mzq3WJJ7NPyv,High,Our earth is polluted and suffering from drought. We must reach out to help each other help it. Keeping it green is important in all aspects.,We have the world in our hands. It is one that has different climates and landscapes. An earth we must take care of every day.,text,Our earth is polluted and suffering from drought. We must reach out to help each other help it. Keeping it green is important in all aspects. We have the world in our hands. It is one that has different climates and landscapes. An earth we must take care of every day.,1,51,11.76,1.96
35,R_3eERE11DtTRXGGw,High,"We are seeing different scenarios of the environmental climate. Some are not good at all. There is pollution, drought, global warming and makes one more interested in the subject of environments and climate change.",Not eco-friendly. It does look like it would be the best environs to help animal life either. There is a drought scene and sights showing industrial pollution.,text,"We are seeing different scenarios of the environmental climate. Some are not good at all. There is pollution, drought, global warming and makes one more interested in the subject of environments and climate change. Not eco-friendly. It does look like it would be the best environs to help animal life either. There is a drought scene and sights showing industrial pollution.",1,61,6.56,1.64
36,R_6NZtApbX48157B7,High,Those look like screensavers they look peaceful calm they put me in a really happy place I really like it,I like it reminds of volcano it puts me in a place of still and calming  a little spicy but a little bit sweet,text,Those look like screensavers they look peaceful calm they put me in a really happy place I really like it I like it reminds of volcano it puts me in a place of still and calming  a little spicy but a little bit sweet,1,44,11.36,6.82
37,R_6q2XcdWOakAjzlT,Low,Many subjects feel good about most. Some happy some sad just like the world feels. It would  be nice if we knew how to bring us all together,Hard to make out but seems to be about goble warming. Science will eventually  solve most of these problems and the world will evolve as it has formulations of years in the past,text,Many subjects feel good about most. Some happy some sad just like the world feels. It would  be nice if we knew how to bring us all together  Hard to make out but seems to be about goble warming. Science will eventually  solve most of these problems and the world will evolve as it has formulations of years in the past,1,61,6.56,4.92
38,R_6krszF5KMXOdJqF,High,The pictures are about atmosphere and planet related scenes. They make me feel relaxed and stress free.,"There are earth and planet related images. These images make me feel bright, cheerful, relaxed and breathtaking.",text,"The pictures are about atmosphere and planet related scenes. They make me feel relaxed and stress free.  There are earth and planet related images. These images make me feel bright, cheerful, relaxed and breathtaking.",1,34,20.59,14.71
39,R_5w5EDtNX2HKYLBL,Low,I really don’t know what I’m expected to see the pictures. There’s a redheaded woman who looks very nice and said the pictures next to them I have no clue,"Since they’re in different languages, I really don’t feel anything. The only one that sort of moves me is the polar bear I have no idea what they are and what they’re showing",text,"I really don’t know what I’m expected to see the pictures. There’s a redheaded woman who looks very nice and said the pictures next to them I have no clue  Since they’re in different languages, I really don’t feel anything. The only one that sort of moves me is the polar bear I have no idea what they are and what they’re showing",1,63,1.59,0
40,R_5Edb3Cd3hHjb8hw,High,Some of them are very pretty and others show different places on the earth. They have to do with the environment.,Alot haave to do with pictures of the earth and how it looks. Some are pretty and some are not and they are split.,text,Some of them are very pretty and others show different places on the earth. They have to do with the environment. Alot haave to do with pictures of the earth and how it looks. Some are pretty and some are not and they are split.,1,45,0,0
41,R_61Ayw2rM9ij2jBv,Low,"This image is a collection of what appears to be related to various aspects of global warming, such as causes, prevention, and the fight for it. I don't really get much of a feeling from it.",This image appears to be a collection of the scientific facts surrounding global warming. I feel a little warm about this because I truly believe in science.,text,"This image is a collection of what appears to be related to various aspects of global warming, such as causes, prevention, and the fight for it. I don't really get much of a feeling from it. This image appears to be a collection of the scientific facts surrounding global warming. I feel a little warm about this because I truly believe in science.",1,63,1.59,0
42,R_1si7iA3uwveysDv,Low,They make me feel like someone put together different subjects and people with lots of sceneries of various landscapes.,They make me feel curious about what they mean. I understand the polar bear but the rest are not written in a way which I can understand.,text,They make me feel like someone put together different subjects and people with lots of sceneries of various landscapes. They make me feel curious about what they mean. I understand the polar bear but the rest are not written in a way which I can understand.,1,46,2.17,0
43,R_6mgAfohAebxqOM0,High,"Smog, yuck! Our oceans are dying, trees are dying, makes me want cry! Our air is not well cause of pollution it needs to stop, or we will all die!",It is very colorful but it reminds me of climate change and we need to do something soon protect our earth before people destroy it.it’s not too late but will take time to get it to where we need it to go!,text,"Smog, yuck! Our oceans are dying, trees are dying, makes me want cry! Our air is not well cause of pollution it needs to stop, or we will all die!  It is very colorful but it reminds me of climate change and we need to do something soon protect our earth before people destroy it.it’s not too late but will take time to get it to where we need it to go!",1,73,5.48,1.37
44,R_7FXU0cwwF2rIHDM,High,"Showing the affects of climate change, the current environment and what could happen in the future or what the planet could look like in the future if no changes take place.",Various images of the world or the earth and nature. I believe they are representative of what is happening to the planet due to climate change.,text,"Showing the affects of climate change, the current environment and what could happen in the future or what the planet could look like in the future if no changes take place. Various images of the world or the earth and nature. I believe they are representative of what is happening to the planet due to climate change.",1,57,0,0
45,R_6Cg3XwIrNwGnjl8,High,They depict natural disasters and man-made pollution.  Seems to have the whole radical environmentalism spin,"They show the enormity of the world, as well as some extremes of weather:  drought/dryness, fire, ice floes",text,"They depict natural disasters and man-made pollution.  Seems to have the whole radical environmentalism spin They show the enormity of the world, as well as some extremes of weather:  drought/dryness, fire, ice floes",1,34,2.94,0
46,R_7vfib6zVBDo4Pnh,Low,Like the scenery in some. Not sure if images are to sell something. The crowds of people not desirable,I like the polar bear and colors used. I don't understand the language. Not sure what is being presented,text,Like the scenery in some. Not sure if images are to sell something. The crowds of people not desirable  I like the polar bear and colors used. I don't understand the language. Not sure what is being presented,1,38,2.63,2.63
47,R_6Oax5m1EwFU1UCl,High,"Parched earth, smoke stacks polluting, some others. Makes it seem like chanfes takibg place if we do not stop polluters",Different images of mostly the world and images of flames showing up with the world or other photos. Just see them as soneones creative imagination,text,"Parched earth, smoke stacks polluting, some others. Makes it seem like chanfes takibg place if we do not stop polluters Different images of mostly the world and images of flames showing up with the world or other photos. Just see them as soneones creative imagination",1,45,0,0
48,R_1FRIxefycTbKaCJ,Low,People around the country and world in response to issues concerning our planet and humanity to do to,"Weather, climate, and planetary disaster effecting our environment reject ch joiuyree we yhgfyuuall do erk di",text,"People around the country and world in response to issues concerning our planet and humanity to do to Weather, climate, and planetary disaster effecting our environment reject ch joiuyree we yhgfyuuall do erk di",1,34,2.94,0
49,R_5X68pL2xwEgE4Le,High,Same as other set. Why are you showing the same genre of images twice? Are there not other photographs on Google to use?,The images are a dichotomy of hot and cold. Cold being the blue color. And hot being red.  The creators are trying to show the effect of global warming.,text,Same as other set. Why are you showing the same genre of images twice? Are there not other photographs on Google to use? The images are a dichotomy of hot and cold. Cold being the blue color. And hot being red.  The creators are trying to show the effect of global warming.,1,52,0,0
50,R_7dKfSgE7bc7l1rK,High,"These images reflect a world that is dry and barren. There are a few images of pollution from industry. There are a few images depicting the world on fire, either through artistry or real-life images (the fire in AUS with the kangaroo). The image of the fire with the kangaroo is distressing.",Most of these images appear to be created using AI and are interpretations of people's beliefs and they are trying to make a statement. Not half of the earth is on fire right now. The earth is not melting. These images seem deceptive. I do not like this. It appears to be manipulative. There are real world places on earth that are truly terrible when it comes to pollution; just show those images. Don't manipulate me.,text,"These images reflect a world that is dry and barren. There are a few images of pollution from industry. There are a few images depicting the world on fire, either through artistry or real-life images (the fire in AUS with the kangaroo). The image of the fire with the kangaroo is distressing.  Most of these images appear to be created using AI and are interpretations of people's beliefs and they are trying to make a statement. Not half of the earth is on fire right now. The earth is not melting. These images seem deceptive. I do not like this. It appears to be manipulative. There are real world places on earth that are truly terrible when it comes to pollution; just show those images. Don't manipulate me.",1,128,1.56,1.56
51,R_1r6KxRiPozHIuQ1,Low,that you can find images of different types of people doing different things on a site like google where you can find anything,I don't think they don't really seem to go together for any meaning of anything in common besides a search engine,text,that you can find images of different types of people doing different things on a site like google where you can find anything I don't think they don't really seem to go together for any meaning of anything in common besides a search engine,1,44,0,0
52,R_1ohk4uMhGdDBgvb,Low,"I'm actually having difficulty finding theme to connect these images.  Some seem to be reflecting pollutions, others show protests, a couple of them are showing nature scenes, and others random people.  I'm not sure how it makes me feel other than confused.",The majority of the images seem to be representing how global temperatures are risingand the effects.  The one with the polar bear specifically is emphasizing how the ice/glaciers may be melting.,text,"I'm actually having difficulty finding theme to connect these images.  Some seem to be reflecting pollutions, others show protests, a couple of them are showing nature scenes, and others random people.  I'm not sure how it makes me feel other than confused. The majority of the images seem to be representing how global temperatures are risingand the effects.  The one with the polar bear specifically is emphasizing how the ice/glaciers may be melting.",1,74,2.7,1.35
53,R_5yFCU2nd6tMKXQd,Low,"Some are a little depressing, others colorful and lively. So there's hope.  Mostly protesting which seems pointless to me.",Confused and upset.  Some were too small for me to read.  The polar bear looked confused and I questioned whether what I saw was true or not.,text,"Some are a little depressing, others colorful and lively. So there's hope.  Mostly protesting which seems pointless to me. Confused and upset.  Some were too small for me to read.  The polar bear looked confused and I questioned whether what I saw was true or not.",1,46,17.39,13.04
54,R_3uZPNZp4CJqWmel,High,These images show me that climate warming is real and we need to take the warning seriously.  Everyone needs to do their part.,These images tell me that the climate is getting warmer and that we need to be concerned about it. Everyone needs to do their part.,text,These images show me that climate warming is real and we need to take the warning seriously.  Everyone needs to do their part. These images tell me that the climate is getting warmer and that we need to be concerned about it. Everyone needs to do their part.,1,48,4.17,2.08
55,R_7fcBwDGEAaqnq4i,Low,It looks like news content but I can't see clear enough to tell. I think it is fron a news broadcast. It makes feel confused  not knowing,Maps of different parts of the world. My guess it is about climate change. The polar bear srt of made me think that,text,It looks like news content but I can't see clear enough to tell. I think it is fron a news broadcast. It makes feel confused  not knowing Maps of different parts of the world. My guess it is about climate change. The polar bear srt of made me think that,1,50,2,2
56,R_7o5aVDPdHKv8c4d,High,These images are so Beautiful images they make you feel so good to see in these time of the world today now.,This is wonderful to see these Beautiful images it bring a lot of joy to see in my life and pray that God can do so much in our lifetime.,text,These images are so Beautiful images they make you feel so good to see in these time of the world today now. This is wonderful to see these Beautiful images it bring a lot of joy to see in my life and pray that God can do so much in our lifetime.,1,52,9.62,5.77
57,R_3IznfoAUjipiNPy,Low,It appears that they talking about global extinction. Probably through nuclear mishaps. It makes a little scared for our future,It is showing the effects of global warming. It makes me sad and angry at the same time. Attic places may not exist into the next generations,text,It appears that they talking about global extinction. Probably through nuclear mishaps. It makes a little scared for our future  It is showing the effects of global warming. It makes me sad and angry at the same time. Attic places may not exist into the next generations,1,47,6.38,6.38
58,R_1Yly5UNRz570XkK,High,"the importance of water and clean air. some pics make me feel sad, others make me feel  angry at industries that pollute.",pretty much the same as the previous set of pictures. some make me feel sad. some make me feel angry.,text,"the importance of water and clean air. some pics make me feel sad, others make me feel  angry at industries that pollute. pretty much the same as the previous set of pictures. some make me feel sad. some make me feel angry.",1,42,11.9,9.52
59,R_1qfVgOnifh5V05E,High,"Similar content as before, though I would argue that's there's a stronger focus on pollution/industrialism and it feels less hopeful than the last round. There are fewer images of green, and more red, orange, and brown. I feel more anxious.","I would describe the content as images of the planet with a contrast between living and barren, with the assumption that climate change/global warming is causing problems. I feel like it's a divisive and hot topic today, and I'm passionate about minimizing my impact while I'm here on Earth.",text,"Similar content as before, though I would argue that's there's a stronger focus on pollution/industrialism and it feels less hopeful than the last round. There are fewer images of green, and more red, orange, and brown. I feel more anxious. I would describe the content as images of the planet with a contrast between living and barren, with the assumption that climate change/global warming is causing problems. I feel like it's a divisive and hot topic today, and I'm passionate about minimizing my impact while I'm here on Earth.",1,91,5.49,3.3
60,R_3I9RwVNDp3mzw8z,High,"Again, these images are clearly all about climate change and the effect it is having. It continues to leave me feeling uneasy.",they refer to the earth and no doubt climate change. It makes me feel concerned for future generations.,text,"Again, these images are clearly all about climate change and the effect it is having. It continues to leave me feeling uneasy. they refer to the earth and no doubt climate change. It makes me feel concerned for future generations.",1,40,5,5
61,R_6EhPVkCVxdgTExk,High,The content of the pictures are of or industry harming the earth and it makes me feel a little guilty,The images contain things that are polluting the earth and the effects that it is causing and it is a unsettling feeling,text,The content of the pictures are of or industry harming the earth and it makes me feel a little guilty  The images contain things that are polluting the earth and the effects that it is causing and it is a unsettling feeling,1,42,7.14,4.76
62,R_71Amtg6cY38hhgs,Low,There is a lot of pollution in these pictures. It looks like there is a lot of protests going on as well.,I felt bad for the polar bear because he has nowhere to go. The rest of the pictures are hard to understand since they are not in English.,text,There is a lot of pollution in these pictures. It looks like there is a lot of protests going on as well.  I felt bad for the polar bear because he has nowhere to go. The rest of the pictures are hard to understand since they are not in English.,1,50,4,2
63,R_1BRtltyMmvpVwNP,Low,"I think they are showing demonstrations against pollution in the atmosphere ,how it has increased and its effect on vegetation",Climate change is causing great disruptions in the environment which causes fear for the future that we leave our children and grandchildren and may cause the extinction of animals.,text,"I think they are showing demonstrations against pollution in the atmosphere ,how it has increased and its effect on vegetation Climate change is causing great disruptions in the environment which causes fear for the future that we leave our children and grandchildren and may cause the extinction of animals.",1,49,4.08,2.04
64,R_1qTYvIMeduv3oXx,High,"The images made me feel a bit down because of the pollution they depict and on the flip side, a bit positive because if we work together we can make a difference and get things turned around.","They are interesting and for the most part colorful images of vegetation, wildlife and the world in general.  They made me feel mostly positive.",text,"The images made me feel a bit down because of the pollution they depict and on the flip side, a bit positive because if we work together we can make a difference and get things turned around. They are interesting and for the most part colorful images of vegetation, wildlife and the world in general.  They made me feel mostly positive.",1,61,6.56,0
65,R_5txlrskcx6gHqut,High,Pictures of the earth and emphasizing the impact of human activity.  Contrasting places ruined by pollution with pristine nature.  They make me feel concerned about the fate of the earth and the kind of world we will be leaving to our grandchildren.,"The hands in these images of the world makee feel like the future of the earth is in our hands
  I feel sad and also like I have a responsibility to reduce human impact.",text,"Pictures of the earth and emphasizing the impact of human activity.  Contrasting places ruined by pollution with pristine nature.  They make me feel concerned about the fate of the earth and the kind of world we will be leaving to our grandchildren. The hands in these images of the world makee feel like the future of the earth is in our hands
  I feel sad and also like I have a responsibility to reduce human impact.",1,76,2.63,2.63
66,R_5jIrpqSmlEG9qmJ,Low,The one thing they all have in common is that they make me feel curious to know the reasons or circumstances under which they were taken.,It looks like they may be all concerning climate issues. It reinforces that it is an issue that many are researching.,text,The one thing they all have in common is that they make me feel curious to know the reasons or circumstances under which they were taken. It looks like they may be all concerning climate issues. It reinforces that it is an issue that many are researching.,1,47,0,0
