ID,age,edu,gender,Condition,ide,WC,Affect,emotion
390,31,High school diploma,other,Low,100,89,4.49,2.25
391,72,Some college,1,Low,50,19,5.26,5.26
392,25,College degree,1,Low,100,52,1.92,0
393,34,College degree,1,Low,51,47,0,0
394,25,High school diploma,1,Low,60,13,15.38,0
395,66,Graduate degree,0,Low,100,61,6.56,0
396,55,High school diploma,0,Low,30,18,0,0
397,36,Some college,1,Low,94,52,1.92,1.92
398,49,College degree,1,Low,57,106,2.83,0
399,69,High school diploma,1,Low,84,40,0,0
400,64,High school diploma,1,Low,87,39,5.13,5.13
401,36,Some college,1,Low,59,30,6.67,3.33
402,65,College degree,1,Low,57,17,0,0
403,67,College degree,1,Low,34,64,9.38,6.25
404,60,High school diploma,0,Low,50,12,16.67,8.33
405,70,College degree,1,Low,61,71,4.23,0
406,50,High school diploma,1,Low,49,47,0,0
407,37,High school diploma,0,Low,82,36,2.78,0
408,64,Graduate degree,1,Low,57,75,4,0
409,71,College degree,1,Low,51,172,5.81,0.58
410,70,High school diploma,1,Low,0,72,5.56,2.78
411,48,Some college,1,Low,45,70,2.86,0
412,61,College degree,0,Low,50,19,15.79,5.26
413,34,High school diploma,1,Low,50,30,3.33,0
414,49,Some college,1,Low,50,73,4.11,4.11
415,35,High school diploma,1,Low,47,35,0,0
416,47,Some high school,1,Low,52,29,0,0
417,40,College degree,0,Low,55,32,0,0
418,72,High school diploma,1,Low,59,52,1.92,1.92
419,35,College degree,1,Low,50,115,0.87,0.87
420,49,Some college,1,Low,1,31,6.45,3.23
421,66,Some college,1,Low,77,61,3.28,1.64
422,35,Graduate degree,0,Low,40,27,0,0
423,25,Some college,0,Low,88,16,0,0
424,23,High school diploma,1,Low,71,19,0,0
425,47,College degree,1,Low,100,16,0,0
426,56,Some college,1,Low,50,88,1.14,0
427,60,Some college,0,Low,100,105,0.95,0
428,40,High school diploma,1,Low,50,23,4.35,0
429,59,High school diploma,1,Low,55,193,0,0
430,65,High school diploma,0,Low,91,58,0,0
431,69,College degree,1,Low,0,120,3.33,1.67
432,59,College degree,1,Low,92,78,5.13,1.28
433,63,College degree,1,Low,94,50,0,0
434,69,High school diploma,1,Low,0,21,0,0
435,74,College degree,1,Low,81,52,21.15,9.62
436,71,High school diploma,1,Low,1,93,0,0
437,57,High school diploma,1,Low,50,128,5.47,2.34
438,60,Some college,1,Low,48,182,4.95,1.65
439,43,High school diploma,1,Low,77,61,3.28,1.64
440,65,Graduate degree,1,Low,50,29,0,0
441,69,Some college,0,Low,64,38,2.63,2.63
442,55,College degree,1,Low,50,68,0,0
443,68,College degree,1,Low,92,93,3.23,0
444,64,High school diploma,1,Low,50,49,0,0
445,69,Some college,1,Low,0,58,8.62,1.72
446,65,Some college,1,Low,21,101,1.98,0
447,41,Graduate degree,0,Low,95,23,0,0
448,66,College degree,1,Low,28,35,14.29,14.29
449,65,Some college,1,Low,0,62,3.23,1.61
450,72,Some college,1,Low,9,131,1.53,0
451,74,Some college,1,Low,50,179,1.12,0
452,60,High school diploma,0,Low,100,60,5,1.67
453,44,Some college,1,Low,95,54,9.26,0
454,65,College degree,1,Low,31,45,2.22,0
455,62,Graduate degree,1,Low,28,14,14.29,0
457,24,Some college,1,Low,50,42,0,0
458,57,Graduate degree,0,Low,100,30,23.33,20
459,63,Graduate degree,1,Low,50,78,5.13,1.28
460,70,College degree,1,Low,53,35,0,0
461,64,Some college,1,Low,0,95,5.26,4.21
462,37,High school diploma,1,Low,100,17,0,0
463,65,High school diploma,1,Low,50,71,1.41,1.41
464,65,High school diploma,1,Low,100,103,2.91,0
465,58,College degree,1,Low,3,50,2,0
466,70,High school diploma,1,Low,0,41,2.44,2.44
467,67,Some college,1,Low,9,43,11.63,0
468,59,College degree,1,Low,35,21,9.52,0
469,54,Some college,1,Low,0,125,2.4,0.8
470,70,Graduate degree,1,Low,100,183,3.28,0
471,52,Some college,1,Low,0,56,12.5,5.36
472,66,Some college,0,Low,0,23,0,0
473,72,Graduate degree,1,Low,8,71,2.82,2.82
474,71,College degree,0,Low,9,97,4.12,1.03
475,60,High school diploma,0,Low,5,170,3.53,0.59
476,75,College degree,0,Low,1,56,1.79,0
477,70,Some college,0,Low,0,90,6.67,3.33
478,73,Graduate degree,0,Low,83,103,0,0
479,71,Graduate degree,0,Low,2,18,0,0
480,59,College degree,0,Low,58,66,0,0
481,67,Some college,1,Low,95,49,0,0
482,68,Graduate degree,0,Low,86,70,2.86,1.43
483,75,Some college,0,Low,77,36,2.78,2.78
484,46,Some college,1,Low,0,43,4.65,2.33
485,69,Some college,1,Low,9,45,13.33,2.22
486,67,Graduate degree,1,Low,75,95,1.05,0
487,30,College degree,0,Low,56,39,2.56,0
488,75,Some college,1,Low,32,99,9.09,4.04
489,65,Some college,1,Low,65,60,5,1.67
491,62,Some college,0,Low,50,25,0,0
492,43,College degree,0,Low,100,45,2.22,2.22
493,58,Some college,1,Low,18,56,0,0
494,41,High school diploma,0,Low,8,32,0,0
495,64,High school diploma,1,Low,52,31,3.23,0
496,69,Some college,1,Low,9,29,10.34,3.45
497,73,High school diploma,1,Low,86,8,12.5,12.5
498,18,Some college,1,Low,100,61,1.64,0
499,32,High school diploma,1,Low,50,66,9.09,1.52
500,18,High school diploma,1,Low,83,59,3.39,1.69
501,31,College degree,1,Low,68,56,3.57,0
502,63,College degree,1,Low,54,47,8.51,2.13
503,49,College degree,1,Low,25,47,8.51,2.13
504,30,High school diploma,1,Low,50,54,0,0
505,67,College degree,1,Low,55,38,0,0
506,74,College degree,1,Low,86,77,2.6,0
507,40,College degree,1,Low,100,53,1.89,1.89
508,66,High school diploma,0,Low,84,55,5.45,0
509,75,Graduate degree,0,Low,67,109,7.34,0
510,71,College degree,0,Low,0,119,5.04,0
511,40,College degree,0,Low,100,168,3.57,0.6
512,29,Some college,0,Low,100,63,0,0
513,72,Some college,0,Low,0,23,4.35,0
514,47,College degree,0,Low,45,106,2.83,0.94
515,68,Some college,0,Low,17,78,2.56,0
516,71,Some college,0,Low,6,67,5.97,2.99
517,64,College degree,0,Low,0,59,0,0
518,24,High school diploma,0,Low,50,8,0,0
519,69,High school diploma,0,Low,26,34,8.82,5.88
520,55,College degree,0,Low,36,18,27.78,11.11
521,44,College degree,0,Low,50,38,2.63,0
522,63,Some college,0,Low,18,120,4.17,2.5
523,55,Some college,0,Low,32,55,0,0
524,35,Some high school,0,Low,50,52,1.92,0
525,63,High school diploma,0,Low,0,16,0,0
526,75,Some college,0,Low,60,40,0,0
527,39,Some college,0,Low,28,60,0,0
528,72,College degree,0,Low,84,16,12.5,6.25
529,53,College degree,0,Low,63,28,3.57,0
530,28,College degree,0,Low,20,48,0,0
531,43,High school diploma,0,Low,100,65,0,0
532,27,College degree,0,Low,64,10,30,10
533,75,Graduate degree,0,Low,17,26,0,0
534,73,College degree,0,Low,19,162,2.47,0.62
535,67,High school diploma,0,Low,46,9,0,0
536,60,High school diploma,1,Low,100,72,2.78,1.39
537,28,Some college,0,Low,85,110,2.73,0.91
538,56,Some college,0,Low,50,59,1.69,1.69
539,56,High school diploma,0,Low,85,25,0,0
540,32,College degree,0,Low,53,16,6.25,0
541,67,College degree,1,Low,86,67,10.45,5.97
542,35,Graduate degree,0,Low,0,38,18.42,10.53
543,40,Graduate degree,0,Low,100,16,50,6.25
544,26,College degree,0,High,94,53,16.98,5.66
545,73,Some college,1,High,87,68,10.29,2.94
546,31,Some college,0,High,78,10,30,10
547,36,College degree,0,High,54,20,35,10
548,72,College degree,0,High,76,51,7.84,1.96
549,29,High school diploma,1,High,86,8,50,12.5
550,61,High school diploma,1,High,67,50,0,0
551,67,High school diploma,0,High,16,37,13.51,2.7
552,75,High school diploma,0,High,14,81,2.47,0
553,71,High school diploma,1,High,55,40,2.5,2.5
554,32,Graduate degree,0,High,90,12,0,0
555,51,College degree,1,High,100,50,6,2
556,30,College degree,1,High,89,8,87.5,0
557,13,College degree,0,High,80,58,22.41,8.62
558,40,College degree,0,High,81,30,50,0
559,66,College degree,1,High,79,23,4.35,0
560,72,Some college,1,High,12,17,29.41,11.76
561,58,College degree,1,High,100,12,8.33,8.33
562,64,High school diploma,1,High,81,47,10.64,0
563,69,College degree,1,High,27,44,4.55,0
564,62,College degree,1,High,0,46,4.35,2.17
565,69,College degree,1,High,7,12,33.33,25
566,66,Some college,1,High,84,48,2.08,0
567,66,College degree,0,High,84,31,9.68,9.68
568,41,College degree,0,High,6,28,25,7.14
569,71,Some college,1,High,0,16,0,0
570,38,Some college,1,High,55,27,3.7,0
571,73,College degree,1,High,19,74,14.86,0
572,35,Graduate degree,0,High,87,83,3.61,3.61
573,29,Some college,other,High,100,84,0,0
574,42,Some college,1,High,50,17,0,0
575,69,High school diploma,1,High,100,68,5.88,1.47
576,37,High school diploma,1,High,10,74,2.7,1.35
577,46,College degree,1,High,76,15,26.67,13.33
578,34,High school diploma,0,High,92,11,27.27,27.27
579,38,Some college,1,High,50,7,0,0
580,30,College degree,0,High,100,37,29.73,29.73
581,63,College degree,1,High,19,36,0,0
582,33,Graduate degree,0,High,100,17,17.65,0
583,51,Graduate degree,0,High,55,55,0,0
584,26,High school diploma,0,High,50,14,21.43,0
585,49,Some college,1,High,81,43,4.65,2.33
586,47,Graduate degree,1,High,69,97,2.06,0
587,69,High school diploma,0,High,0,25,28,0
588,66,High school diploma,1,High,0,32,6.25,6.25
589,19,High school diploma,0,High,49,10,30,20
590,41,Some college,1,High,83,31,6.45,0
591,29,High school diploma,1,High,51,2,50,50
592,44,High school diploma,1,High,0,85,8.24,7.06
593,28,College degree,0,High,0,16,0,0
594,29,College degree,1,High,48,48,0,0
595,72,Graduate degree,0,High,8,61,1.64,0
596,71,College degree,1,High,66,46,10.87,0
597,28,College degree,1,High,37,37,5.41,0
598,70,Graduate degree,0,High,81,61,1.64,0
599,36,College degree,0,High,0,63,12.7,11.11
600,71,Some college,1,High,7,142,9.15,8.45
601,26,High school diploma,1,High,47,79,7.59,1.27
602,69,Some college,0,High,89,77,1.3,0
603,66,College degree,1,High,9,52,7.69,1.92
604,73,Graduate degree,1,High,100,91,1.1,0
605,53,College degree,1,High,100,46,8.7,4.35
606,74,Graduate degree,1,High,59,51,1.96,1.96
607,66,College degree,1,High,85,158,6.96,1.27
608,72,Graduate degree,1,High,50,85,10.59,10.59
609,48,Some high school,1,High,50,245,2.86,0
610,35,College degree,0,High,95,62,25.81,24.19
611,35,College degree,0,High,96,41,34.15,17.07
612,40,College degree,1,High,50,54,9.26,7.41
613,72,Some college,1,High,50,58,10.34,1.72
614,47,High school diploma,0,High,0,24,16.67,4.17
615,44,Graduate degree,1,High,17,15,0,0
616,42,College degree,1,High,82,48,0,0
617,75,Some college,1,High,20,67,2.99,0
618,53,College degree,0,High,60,44,11.36,0
619,70,High school diploma,1,High,51,50,6,2
620,71,Some college,1,High,59,105,1.9,0
621,57,College degree,1,High,88,76,0,0
622,63,College degree,1,High,99,65,1.54,0
623,59,High school diploma,1,High,23,17,0,0
624,22,Some college,1,High,78,34,0,0
625,29,College degree,0,High,0,33,0,0
626,37,College degree,1,High,100,46,0,0
627,24,High school diploma,1,High,100,86,1.16,0
628,31,College degree,1,High,52,70,4.29,0
629,73,Graduate degree,1,High,71,164,8.54,1.22
630,73,College degree,1,High,8,16,12.5,0
631,20,Some high school,0,High,0,11,9.09,9.09
632,55,College degree,1,High,17,12,8.33,8.33
633,40,Graduate degree,0,High,100,75,9.33,4
634,19,High school diploma,1,High,100,7,0,0
635,37,Some college,1,High,15,34,17.65,8.82
636,71,Some college,1,High,51,41,7.32,0
637,69,High school diploma,1,High,51,34,17.65,8.82
638,42,College degree,1,High,49,42,7.14,0
639,65,College degree,1,High,44,46,8.7,2.17
640,34,College degree,1,High,80,35,2.86,2.86
641,40,College degree,1,High,51,34,11.76,2.94
642,28,High school diploma,1,High,64,29,0,0
643,48,Some college,0,High,0,74,2.7,1.35
644,66,Some college,1,High,50,92,7.61,1.09
645,57,High school diploma,1,High,53,35,2.86,0
646,46,Some college,1,High,1,60,3.33,0
647,65,Some college,0,High,51,7,100,100
648,66,High school diploma,1,High,0,28,14.29,14.29
649,37,Some high school,1,High,51,16,6.25,0
650,44,College degree,1,High,0,47,2.13,0
651,67,Graduate degree,1,High,100,142,1.41,0
652,27,College degree,1,High,54,42,4.76,4.76
653,63,High school diploma,1,High,52,31,12.9,0
654,35,College degree,0,High,89,47,6.38,0
655,72,Graduate degree,0,High,52,127,8.66,2.36
656,64,Some college,1,High,65,44,9.09,2.27
657,60,Graduate degree,other,High,77,60,1.67,0
658,69,College degree,1,High,40,48,0,0
659,35,Graduate degree,1,High,100,9,22.22,22.22
660,49,High school diploma,0,High,50,15,0,0
661,66,High school diploma,1,High,0,26,7.69,3.85
662,54,Some high school,1,High,50,14,14.29,14.29
663,30,Graduate degree,0,High,77,22,31.82,0
664,33,Some college,1,High,52,26,3.85,0
665,35,Graduate degree,0,High,100,128,19.53,12.5
666,66,High school diploma,1,High,0,26,0,0
667,42,High school diploma,0,High,74,64,6.25,1.56
668,53,High school diploma,0,High,33,35,0,0
669,70,High school diploma,0,High,50,40,10,0
670,73,College degree,0,High,8,55,9.09,5.45
671,72,College degree,0,High,5,82,4.88,2.44
672,19,High school diploma,0,High,45,194,3.09,0
673,68,Some college,0,High,9,36,25,8.33
674,21,Some college,0,High,43,92,5.43,1.09
675,56,High school diploma,1,High,49,28,3.57,0
676,58,College degree,0,High,19,16,0,0
677,74,Some college,0,High,56,36,2.78,0
678,43,College degree,1,High,50,46,6.52,0
679,35,Graduate degree,0,High,100,233,2.15,0.86
680,19,Some college,0,High,56,24,0,0
681,66,Some college,0,High,31,76,5.26,3.95
682,44,Some college,1,High,5,23,4.35,0
683,71,High school diploma,1,High,89,57,1.75,0
684,42,Some college,1,High,89,19,0,0
685,68,Some college,1,High,1,42,4.76,4.76
686,66,College degree,0,High,97,21,19.05,0
687,54,College degree,1,High,73,133,0,0
688,69,College degree,1,High,87,85,3.53,0
689,54,Graduate degree,0,High,71,68,11.76,8.82
690,69,College degree,1,High,80,54,11.11,3.7
691,67,College degree,0,High,0,11,18.18,0
692,72,Some college,0,High,0,18,0,0
693,65,College degree,0,High,0,89,1.12,1.12
694,68,College degree,0,High,100,58,12.07,6.9
695,53,College degree,1,High,77,62,4.84,1.61
696,73,College degree,1,High,100,28,50,0
697,59,College degree,0,High,0,37,16.22,5.41
698,49,College degree,1,High,11,25,0,0
699,67,Some college,1,High,14,58,10.34,1.72
700,70,Some college,1,High,86,81,0,0
701,30,Some college,1,High,50,17,0,0
702,53,College degree,0,High,28,16,43.75,25
703,75,High school diploma,0,High,50,13,0,0
704,49,High school diploma,1,High,0,67,4.48,0
705,64,Some college,0,High,50,39,0,0
706,60,High school diploma,0,High,50,40,0,0
707,60,High school diploma,0,High,18,63,6.35,3.17
708,64,High school diploma,0,High,1,57,3.51,0
709,54,High school diploma,1,High,51,37,0,0
710,64,College degree,1,High,98,45,4.44,2.22
711,73,Some college,1,High,71,103,3.88,0
712,70,Graduate degree,1,High,29,62,3.23,0
713,75,Some college,1,High,17,64,18.75,12.5
714,70,Graduate degree,0,High,10,16,0,0
715,37,College degree,1,High,52,120,5.83,0.83
716,71,Graduate degree,1,High,100,49,4.08,0
717,68,College degree,1,High,50,93,4.3,3.23
718,67,Some college,0,High,50,34,2.94,0
719,74,Graduate degree,1,High,93,16,18.75,0
720,67,Some college,0,High,23,48,4.17,0
721,71,College degree,0,High,100,36,0,0
722,68,College degree,1,High,50,43,2.33,0
723,74,Graduate degree,1,High,4,41,2.44,2.44
724,32,High school diploma,0,High,100,16,37.5,37.5
725,45,Some college,1,High,50,27,7.41,3.7
726,32,High school diploma,0,High,98,10,70,10
727,45,College degree,1,High,48,9,11.11,11.11
728,66,High school diploma,1,High,0,66,3.03,0
729,75,High school diploma,0,High,50,35,8.57,0
730,59,Graduate degree,0,High,51,41,12.2,0
731,51,College degree,1,High,11,29,6.9,6.9
732,67,College degree,0,High,89,80,2.5,1.25
733,66,College degree,1,High,98,16,6.25,0
734,47,High school diploma,1,High,53,62,3.23,0
735,66,College degree,1,High,50,140,2.86,2.14
736,45,Some college,1,High,100,61,3.28,1.64
737,66,High school diploma,1,High,58,54,7.41,1.85
738,70,High school diploma,1,High,53,73,0,0
739,54,Some college,1,High,38,77,9.09,1.3
740,62,Some college,1,High,71,77,6.49,0
741,66,High school diploma,1,High,0,18,0,0
742,52,Some college,1,High,16,87,3.45,1.15
743,33,College degree,1,High,0,48,0,0
744,60,College degree,1,High,100,244,12.7,0.82
745,73,Graduate degree,1,High,14,46,6.52,0
746,64,Some college,1,High,100,15,0,0
747,71,Some college,1,High,50,42,0,0
748,38,High school diploma,1,High,52,23,0,0
749,58,College degree,1,High,13,22,4.55,4.55
750,75,Some college,1,High,52,28,7.14,0
751,70,High school diploma,1,High,100,121,3.31,3.31
752,63,College degree,1,High,99,124,4.03,2.42
753,65,Some college,1,High,54,44,4.55,2.27
754,66,High school diploma,1,High,0,80,0,0
755,66,Some college,1,High,38,66,6.06,0
756,75,College degree,1,High,100,171,3.51,0.58
757,57,High school diploma,0,High,100,12,0,0
758,67,Some college,1,High,5,26,7.69,3.85
759,69,College degree,1,High,21,142,1.41,0.7
760,57,High school diploma,1,High,0,57,12.28,10.53
761,66,Some college,1,High,50,33,9.09,0
762,32,College degree,1,High,83,16,6.25,0
763,67,Some college,1,High,35,138,5.07,4.35
764,48,High school diploma,1,High,51,40,17.5,17.5
765,63,Some college,0,High,71,16,12.5,0
766,67,High school diploma,1,High,50,38,5.26,0
767,64,College degree,1,High,36,24,16.67,0
768,56,College degree,1,High,50,58,0,0
769,58,College degree,1,High,56,46,0,0
770,46,High school diploma,1,High,37,14,21.43,14.29
771,69,High school diploma,1,High,0,115,4.35,2.61
772,67,College degree,1,High,31,68,8.82,0
773,42,High school diploma,0,High,79,32,0,0
774,45,College degree,1,High,50,16,0,0
775,49,High school diploma,1,High,50,65,0,0
776,36,Some college,1,High,46,21,9.52,4.76
777,40,College degree,0,High,0,8,62.5,0
778,61,Graduate degree,1,High,44,68,4.41,0
779,63,Some college,1,High,66,28,3.57,0
780,35,Graduate degree,0,High,100,19,21.05,21.05
781,37,Graduate degree,1,High,100,144,0,0
782,26,High school diploma,1,High,50,31,22.58,0
783,40,Some college,1,High,50,128,3.13,2.34
784,22,Some college,0,High,51,45,0,0
785,55,High school diploma,1,High,0,12,8.33,0
786,66,High school diploma,0,High,8,52,1.92,0
787,65,Some high school,1,High,100,88,4.55,2.27
788,56,Some college,1,High,22,111,4.5,0
789,52,Graduate degree,1,High,83,61,0,0
790,74,High school diploma,1,High,55,33,3.03,0
791,49,College degree,1,High,39,107,5.61,0.93
792,55,College degree,1,High,0,83,2.41,2.41
793,64,College degree,1,High,50,17,5.88,0
